area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs_count,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_count_chg,oty_qtrly_estabs_count_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
11001,1,722511,78,0,2017,1,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.1,27.41,26.57,27.13,16.01,0,0,0.59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,1,722511,78,0,2017,2,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.17,27.66,27.57,27.62,15.88,0,0,0.57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,1,722511,78,0,2017,3,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.11,27.19,26.43,26.87,15.03,0,0,0.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,1,722511,78,0,2017,4,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.07,27.13,27.07,26.94,15.7,0,0,0.58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,5,722511,78,0,2017,1,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,894,26422,26831,27305,194750420,160487576,3274537,558,,0.92,0.95,0.96,0.96,0.8,1.64,1.99,0.83,,28,3.2,-133,-0.5,16,0.1,108,0.4,18744364,10.6,12123242,8.2,82394,2.6,54,10.7
11001,5,722511,78,0,2017,2,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,885,28236,28799,28973,216660587,82268509,1725500,581,,0.91,0.98,0.99,0.99,0.87,2.3,2.38,0.88,,24,2.8,84,0.3,487,1.7,702,2.5,5837086,2.8,-5879297,-6.7,-186455,-9.8,7,1.2
11001,5,722511,78,0,2017,3,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,919,28920,28531,28750,206917712,47871077,1036822,554,,0.92,0.98,0.97,1,0.78,1.63,1.72,0.79,,47,5.4,850,3,1105,4,1031,3.7,-31118,0,-3930535,-7.6,-121109,-10.5,-20,-3.5
11001,5,722511,78,0,2017,4,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,948,29177,29077,28800,223050647,45602279,1017719,591,,0.93,1.02,1.03,1.02,0.9,1.8,2.02,0.88,,60,6.8,1585,5.7,1361,4.9,1575,5.8,12236024,5.8,2332397,5.4,38563,3.9,2,0.3
24031,5,722511,78,0,2017,1,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,620,14607,14465,14648,83960234,72999269,678416,443,,0.76,0.85,0.84,0.84,0.7,1.07,0.69,0.83,,6,1,468,3.3,356,2.5,409,2.9,9443201,12.7,7133871,10.8,-36844,-5.2,38,9.4
24031,5,722511,78,0,2017,2,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,625,14812,15058,15219,89443039,38865593,392723,458,,0.76,0.84,0.84,0.83,0.72,1.47,1.02,0.87,,7,1.1,463,3.2,514,3.5,405,2.7,6170675,7.4,-1021737,-2.6,-73978,-15.9,18,4.1
24031,5,722511,78,0,2017,3,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,629,15099,15011,14566,87455216,22883712,253787,452,,0.77,0.84,0.85,0.83,0.72,1.12,0.81,0.86,,14,2.3,248,1.7,268,1.8,228,1.6,743714,0.9,-1163085,-4.8,-48120,-15.9,-3,-0.7
24031,5,722511,78,0,2017,4,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,630,14422,14493,14596,89394270,19257673,237573,474,,0.77,0.82,0.83,0.84,0.71,1.13,0.94,0.86,,6,1,-78,-0.5,-96,-0.7,-68,-0.5,3869220,4.5,146368,0.8,-22190,-8.5,23,5.1
24033,1,722511,78,0,2017,1,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,25,25,24,101579,0,0,317,,5.14,3.94,3.81,3.76,3.14,0,0,0.82,,0,0,-7,-21.9,-7,-21.9,-7,-22.6,5366,5.6,0,0,0,0,83,35.5
