area_title,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Montgomery County, Maryland",975858,992522,1007469,1018651,1029139,1038404,1045323,1054194,1056707,1060001,1060856,1056087,1061132,1069397,1082273
"District of Columbia, District of Columbia",604718,617465,630643,644203,653986,665135,673428,680670,685476,687320,670917,669256,676725,687324,702250
"Prince George's County, Maryland",867847,881633,895476,909343,924329,936346,944503,951822,957881,963706,965398,956603,953609,956533,966629
"Arlington County, Virginia",209289,215927,221343,224729,225762,228255,231052,234320,235668,237278,238829,233478,233976,235181,239807
"Fairfax County, Virginia",1086119,1103343,1120242,1131592,1136017,1140080,1143814,1148020,1148179,1150668,1148680,1142381,1140521,1146677,1160925
"Alexandria city, Virginia",140752,144343,147512,149959,151796,154170,156992,159202,158866,159599,159144,155129,155235,156271,159102
"Charles County, Maryland",147215,149494,151202,153434,155395,156945,158867,161334,163718,165794,166692,168822,170376,172268,174478
"Loudoun County, Virginia",315483,326342,337876,349963,362280,374115,385677,397107,405868,414764,422723,428827,432897,437164,443380
"Howard County, Maryland",288729,294151,300223,305035,308878,313751,318361,322633,326563,330064,332821,335370,336439,337341,339668
"Anne Arundel County, Maryland",539451,545597,551798,557548,561917,566217,571107,575619,580488,585330,593412,596354,598751,599965,602350
